"","V1"
"AT3G09505.1",0.340178176308267
"AT1G09467.1",0.237898715389613
"AT5G48070.1",0.23545406245968
"AT3G46650.1",0.252509367964505
"AT5G48760.1",0.392057836784196
"AT1G71830.1",0.0521150711092923
"AT1G11220.2",0.0816273915963212
"AT3G07685.1",0.220115494844637
"AT1G28050.1",0.114251424107506
"AT3G09100.2",0.12839627359543
"AT2G23445.1",0.192805397691181
"AT5G16990.1",0.177527557711099
"AT1G75394.1",0.184516442582024
"AT2G35520.1",0.0648262095624599
"AT3G08600.1",0.156487429877151
"AT3G45500.1",0.280688248019584
"AT1G75120.1",0.258264075808563
"AT5G56280.1",0.273055044401481
"AT2G04290.1",0.284594759368595
"AT5G03970.1",0.187365732018976
"AT1G52320.5",0.204352390606353
"AT5G61605.1",0.105928588267138
"AT3G08105.1",0.299466990817121
"AT4G28050.1",0.328587204826245
"AT4G17914.1",0.117031023611469
"AT4G09146.1",0.16302932861204
"AT4G11213.1",0.0922110558006757
"AT1G24180.1",0.22811288124858
"AT1G58300.1",0.262275888328028
"AT5G56452.1",0.0750621301575219
"AT2G40500.1",0.0984175692265282
"AT5G50690.2",0.288676365402611
"AT5G18870.1",0.118622798767855
"AT2G39170.1",0.230240372587582
"AT3G29792.1",0.0924280581053014
"AT1G09233.1",0.31222576515418
"AT5G02502.1",0.0653629977015072
"AT4G25900.1",0.233117810023618
"AT1G10320.2",0.2451328496206
"AT4G35700.1",0.232317420075216
"AT1G06483.1",0.0698400309231698
"AT5G58595.1",0.23111563160089
"AT3G60610.1",0.165328160909947
"AT3G43090.1",0.327598970214724
"AT5G38410.1",0.191234103820847
"AT4G07516.1",0.0973899267529967
"AT3G43251.1",0.266392937605871
"AT5G37730.1",0.0821631683968858
"AT5G13870.2",0.214364829619942
"AT2G32800.1",0.214778985915464
"AT3G56650.1",0.0636232608719144
"AT3G20540.1",0.0580879127099125
"AT5G48480.1",0.134828151507244
"AT5G18300.1",0.233177399287943
"AT3G07755.1",0.261563789520789
"AT2G05710.1",0.0929797468533971
"AT3G22142.1",0.0752565612747364
"AT4G06698.1",0.143933610741706
"AT5G50580.2",0.237939802666926
"AT2G04785.1",0.0592654934404751
"AT1G35537.1",0.180295708423717
"AT2G19590.1",0.181668200293798
"AT4G23380.1",0.116947390090608
"AT3G61010.1",0.156233303194092
"AT1G03610.2",0.250957789838238
"AT4G04400.1",0.060704259332303
"AT4G08078.1",0.232527820921128
"AT4G23260.2",0.134726632568215
"AT2G17180.1",0.161055520444575
"AT5G24120.3",0.210151384403223
"AT4G26420.1",0.263069121553637
"AT3G15200.1",0.302916747368394
"AT1G35590.1",0.241698423444146
"AT2G02870.1",0.192964088994742
"AT2G28720.1",0.341261736385461
"AT5G46330.1",0.312177830716449
"AT3G46460.2",0.0652791662758442
"AT5G04485.1",0.160134138949303
"AT5G24370.1",0.132351229021511
"AT3G04115.1",0.3192033301152
"AT1G15320.1",0.237223556263357
"AT5G60820.1",0.112681382671458
"AT2G08960.1",0.144579322039674
"AT1G38194.1",0.332397714637208
"AT3G28680.1",0.0863337517561263
"AT4G15910.1",0.231215595866583
"AT5G11870.1",0.164501614009616
"AT5G24490.1",0.233105358995819
"AT5G09490.1",0.213844792126446
"AT4G14170.1",0.0586890932215911
"AT4G21210.1",0.221438066423079
"AT5G07110.1",0.0831618730788297
"AT5G19210.2",0.215722521082573
"AT5G64395.1",0.104033023028108
"AT3G48320.1",0.164427317050554
"AT3G32050.1",0.0723449959336641
"AT3G59530.3",0.0926761907169018
"AT3G52730.2",0.0538990808533701
"AT2G07535.1",0.0597756948628475
"AT4G09784.1",0.0619823129145895
"AT4G26080.1",0.194772163749714
"AT5G47175.1",0.108178051560159
"AT3G01985.1",0.0646183898765009
"AT1G15260.1",0.0640470244908197
"AT1G64253.1",0.0657970314741485
"AT3G31360.1",0.0638611368047612
"AT5G51780.2",0.0527850576755582
"AT2G05950.1",0.0513124448470824
"AT1G23250.2",0.191997839230146
"AT3G54910.2",0.181528271968454
"AT3G19270.2",0.0635411431407752
"AT1G11655.1",0.156765747273883
"AT3G20395.1",0.260189799498378
"AT2G33070.3",0.103107512164328
"AT1G56340.1",0.278484746529781
"AT2G02640.1",0.242650499033341
"AT5G42232.1",0.0525912499175992
"AT3G50130.1",0.288221100225433
"AT2G27290.1",0.196553951111539
"AT4G01990.1",0.0563026135343985
"AT3G42760.1",0.194412712088912
"AT1G22250.1",0.122398378586354
"AT4G14342.2",0.253433920651566
"AT5G54300.1",0.254164586577215
"AT3G43920.3",0.219244899340048
"AT3G07125.1",0.304873794959979
"AT3G16090.1",0.0941646956897244
"AT2G01260.3",0.230020977426312
"AT4G00520.4",0.100839964115263
"AT5G02990.1",0.254688360202752
"AT4G30840.1",0.206201786734442
"AT5G49570.1",0.126512780241112
"AT4G07738.1",0.345734924959676
