,corcoef
AT5G08795.1,0.195069345
AT2G25312.1,0.133305654
AT2G05910.1,0.244767693
AT4G24652.1,0.175865988
AT1G27160.1,0.179399184
AT3G19690.1,0.066905864
AT1G48560.1,0.22872665
AT4G14630.1,0.109348523
AT2G09215.1,0.127716429
AT5G54130.2,0.065874276
AT1G74960.2,0.150432772
AT4G00295.1,0.181721063
AT2G30615.1,0.16810597
AT5G09465.1,0.189972451
AT2G09925.1,0.14921339
AT1G08870.1,0.07442342
AT5G47700.1,0.239636699
AT1G25370.2,0.120267676
AT4G06145.1,0.434741755
AT2G31380.1,0.062729849
AT4G06845.1,0.262861634
AT1G80830.1,0.183319306
AT3G11500.2,0.11840606
AT4G04255.1,0.136313516
AT3G01145.1,0.216363115
AT1G54030.2,0.140194063
AT1G09233.1,0.255997292
AT2G03900.1,0.149874649
AT2G29485.1,0.147583595
AT2G21270.2,0.114339091
AT1G04033.1,0.222111227
AT2G07760.1,0.162475602
AT3G19380.1,0.182457655
AT5G56190.6,0.077761674
AT4G25900.1,0.176306107
AT1G62780.1,0.10333493
AT3G03665.1,0.126126335
AT1G09523.1,0.309685953
AT4G04595.1,0.190572069
AT1G13670.1,0.161792923
AT2G06303.1,0.059780526
AT1G73655.1,0.101888544
AT4G26870.1,0.090592989
AT3G62760.1,0.207985427
AT4G27910.1,0.290564508
AT1G69830.1,0.072018848
AT3G03330.1,0.119473798
AT3G63215.1,0.185380681
AT3G60966.1,0.125656348
AT3G25620.1,0.198882418
AT1G54000.1,0.120710683
AT5G65970.1,0.204559698
AT1G09693.1,0.082744724
AT3G16050.1,0.187388267
AT5G62080.1,0.227077806
AT3G54860.1,0.075501709
AT1G07460.2,0.181580447
AT5G54930.1,0.126889493
AT2G05010.1,0.117390249
AT2G17940.1,0.184261282
AT1G30540.2,0.226181702
AT5G16220.1,0.213341683
AT3G44769.1,0.091135966
AT4G10970.2,0.442834431
AT5G24655.1,0.229026318
AT1G06063.1,0.050105506
AT1G29520.1,0.376799555
AT5G09200.1,0.168648839
AT2G23600.2,0.053114142
AT5G56555.1,0.214175028
AT1G76070.1,0.209255575
AT5G24860.2,0.079118085
AT1G64070.1,0.133276916
AT3G56530.1,0.249832345
AT2G43550.1,0.193188096
AT3G08205.1,0.096616424
AT4G06519.1,0.119083654
AT3G13430.2,0.138628485
AT2G22090.2,0.153684004
AT2G01860.1,0.211653882
AT5G36340.1,0.11514992
AT4G07420.1,0.10231798
AT3G07690.1,0.08909834
AT1G68862.4,0.117054667
AT5G44160.2,0.183828547
AT2G01650.3,0.291750507
AT5G47240.2,0.384037611
AT5G56110.1,0.073482686
AT5G39680.1,0.328893622
AT4G27270.4,0.225812237
AT1G57780.1,0.079107136
AT3G43425.1,0.243925511
AT5G67360.1,0.135623796
AT5G04130.2,0.266291573
AT5G57270.5,0.37750606
AT1G62690.2,0.082524053
AT1G09460.1,0.086498334
AT1G04930.2,0.137225523
AT5G18270.1,0.11057017
AT3G10010.2,0.271830211
AT2G38480.1,0.113985559
AT5G19290.1,0.100222862
AT4G34332.1,0.079971215
AT4G10540.1,0.205492183
AT5G67240.1,0.130705887
AT5G13320.3,0.181228457
AT3G43586.1,0.091591068
AT3G02035.1,0.243799057
AT1G69580.1,0.110408862
AT1G66430.1,0.110664203
AT4G10230.1,0.216888075
AT4G08602.1,0.083843647
AT3G53770.2,0.21306915
AT1G22050.1,0.112252878
AT3G29648.1,0.065226085
AT3G46720.1,0.093057856
AT3G10360.1,0.061284198
AT3G17640.1,0.101170585
AT2G07415.1,0.087102251
AT1G74456.1,0.091062861
AT1G29270.1,0.214595801
AT2G32800.1,0.146800806
AT3G28240.1,0.052311454
AT1G41827.1,0.184575498
AT2G03470.1,0.280382782
AT5G03885.1,0.290867555
AT3G59420.1,0.236427509
AT5G10530.1,0.098004928
AT5G39205.1,0.150013772
AT2G43130.1,0.10484338
AT5G24670.3,0.206588035
AT5G27150.1,0.186086712
AT2G09610.1,0.202279323
AT1G53830.1,0.240302373
AT5G18610.2,0.1206409
AT1G67910.2,0.224503712
AT2G30575.1,0.150630393
AT5G18560.1,0.262751667
AT1G07490.1,0.073164193
AT1G02400.2,0.090988956
AT5G65650.1,0.107274087
AT3G50030.1,0.068896166
AT5G01995.1,0.225204733
AT5G26970.1,0.16688645
AT1G05863.1,0.117036726
AT3G03370.2,0.253653121
AT1G49970.1,0.127202242
AT5G48470.1,0.068739227
AT3G16870.1,0.082649444
AT5G63440.1,0.161202153
AT3G18320.1,0.153122355
AT1G40115.1,0.270117972
AT3G24927.1,0.125474853
AT4G10820.1,0.149990795
AT4G06235.1,0.166508198
AT5G11210.6,0.101725371
AT4G06020.1,0.295026569
AT1G27630.3,0.078932513
AT1G30580.1,0.069986901
AT5G46900.1,0.097412701
AT4G07324.1,0.144940021
AT5G20110.2,0.169828309
AT2G36050.1,0.147081273
AT2G12305.1,0.181465425
AT2G28860.1,0.314060029
AT1G11595.1,0.193131571
AT2G43870.1,0.135620718
AT3G14640.1,0.072166733
AT5G35375.1,0.054533433
AT5G09600.1,0.058801109
AT4G19045.1,0.150199916
AT4G07380.1,0.144715332
AT1G35200.1,0.075927811
AT2G08150.1,0.246600798
AT2G42395.1,0.13332309
AT4G38830.1,0.312847077
AT1G53570.6,0.10658573
AT3G07755.1,0.213001846
AT2G33490.1,0.065040042
AT1G19500.1,0.155569003
AT1G54690.1,0.330242822
AT5G44495.1,0.270408116
AT4G11610.1,0.121593176
AT4G07868.1,0.162238001
AT3G28890.2,0.306763942
AT2G05710.1,0.073752161
AT2G38900.2,0.096719136
AT1G28300.1,0.161532224
AT1G55620.2,0.1168733
AT3G58700.1,0.077696448
AT1G72520.1,0.066105989
AT2G47140.1,0.227826416
AT4G31700.1,0.058783437
AT3G09050.1,0.087005166
AT2G40050.1,0.186637901
AT3G54200.1,0.313466603
AT2G11320.1,0.235215307
AT1G27280.1,0.205013159
AT5G53470.1,0.202020977
AT2G48030.2,0.188083553
AT3G12915.1,0.077623725
AT5G28570.1,0.383271732
AT4G14960.2,0.152525107
AT2G04125.1,0.293237906
AT2G24590.1,0.157321529
AT1G09245.1,0.176088144
AT1G54035.1,0.052540947
AT5G56870.1,0.188000876
AT1G24510.2,0.060706096
AT3G43123.1,0.064232833
AT2G08560.1,0.065389026
AT1G76370.1,0.139166819
AT1G14610.1,0.144977748
AT5G58600.2,0.153843937
AT5G48485.1,0.260262677
AT1G32810.2,0.180398494
AT5G42920.2,0.118897994
AT2G16320.1,0.100425117
AT1G24050.1,0.088330125
AT2G07749.1,0.506478906
AT5G13890.1,0.167322893
AT1G59730.1,0.227051152
AT5G05025.1,0.157351718
AT1G58290.1,0.156514623
AT1G09213.1,0.341218702
AT1G18570.1,0.09153241
AT3G20400.1,0.116547571
AT5G09340.1,0.060326344
AT1G11510.1,0.334978693
AT5G03035.1,0.05168418
AT3G07620.1,0.17478767
AT4G15765.2,0.132457089
AT2G07965.1,0.408647274
AT5G45745.1,0.157095806
AT1G56820.1,0.259222107
AT3G46110.2,0.174145221
AT2G27120.2,0.156534925
AT1G32390.1,0.258845618
AT4G07285.1,0.092105695
AT3G12900.1,0.168996733
AT1G16225.2,0.100030719
AT1G31170.1,0.126566661
AT1G32530.1,0.160998141
AT3G26000.1,0.162048785
AT2G18820.1,0.065217084
AT5G41530.1,0.051315194
AT5G28330.1,0.083189986
AT1G22940.1,0.095267485
AT1G65590.1,0.250408412
AT3G13750.1,0.13490652
AT2G23410.1,0.083936969
AT1G46768.1,0.0868143
AT2G14900.1,0.067036882
AT4G08155.1,0.261955667
AT1G28230.1,0.078719782
AT3G30844.1,0.215732326
AT1G61540.1,0.175947522
AT5G27050.1,0.165208133
AT1G23930.1,0.222443411
AT5G56160.2,0.243232922
AT4G24175.2,0.133498649
AT2G32790.1,0.21034584
AT1G75360.1,0.087007848
AT2G07731.1,0.194751842
AT4G13257.1,0.201903425
AT3G22961.1,0.242805621
AT2G10380.1,0.192027157
AT1G04780.1,0.172346787
AT4G01480.1,0.191668976
AT2G32590.1,0.214002148
AT5G35740.1,0.174856994
AT1G53780.4,0.091643535
