"","V1"
"AT1G09943.1",0.178515580033999
"AT2G07719.1",0.0634413128262334
"AT2G32950.1",0.221043200116171
"AT4G34970.1",0.120032447135546
"AT3G51880.1",0.311084381184835
"AT4G05583.2",0.240066759085092
"AT3G27480.1",0.157420868885801
"AT4G30060.1",0.0970344753879956
"AT1G41798.1",0.287124986509443
"AT2G09500.1",0.211129254731408
"AT5G46150.1",0.221966079495787
"AT2G24090.1",0.073976409215717
"AT3G42190.1",0.20653966007311
"AT2G47680.1",0.0928327725707406
"AT1G09823.1",0.112386317971444
"AT2G05335.1",0.101537425663458
"AT3G09100.2",0.133325908918338
"AT2G23445.1",0.28224889043507
"AT4G01510.2",0.247014193837724
"AT4G06728.1",0.210432966639388
"AT2G37450.3",0.198474000043776
"AT3G59960.2",0.286211441790136
"AT4G27550.1",0.076664329686307
"AT3G62740.2",0.152258881380807
"AT2G06240.1",0.271789375777539
"AT2G04290.1",0.402390119353652
"AT1G13210.1",0.123153931793814
"AT3G08055.1",0.28451061603124
"AT5G55850.3",0.0862417659033741
"AT5G47360.1",0.0843844871520067
"AT3G10572.2",0.159702713736346
"AT5G36730.1",0.28728509630683
"AT1G24180.1",0.290292130915088
"AT5G32017.1",0.219632163440435
"AT2G09150.1",0.142864333921225
"AT2G33780.1",0.322911113835568
"AT4G22217.1",0.237973814674896
"AT5G51050.1",0.294562502072229
"AT1G61820.1",0.161618981106528
"AT2G46950.2",0.165638924283881
"AT2G00370.1",0.195305522758546
"AT5G63135.1",0.0632281332244709
"AT1G09233.1",0.304782745338547
"AT1G08377.1",0.16840444492729
"AT4G25900.1",0.203558783643958
"AT1G49700.3",0.264620311177598
"AT4G01525.1",0.263768188247463
"AT2G31215.1",0.125238786617725
"AT1G51740.2",0.257301104992056
"AT4G06684.1",0.173975815674735
"AT5G14320.1",0.201980798492834
"AT1G21475.1",0.063784612540415
"AT3G23440.1",0.0754938658544589
"AT3G60610.1",0.177313908433515
"AT5G35870.1",0.30043254574176
"AT1G32760.1",0.22237970417547
"AT3G00540.1",0.29352128131961
"AT1G28870.1",0.180909958066048
"AT1G22690.1",0.129775704959843
"AT5G18450.1",0.119425160292732
"AT5G37730.1",0.0942666154533504
"AT5G33255.1",0.0642181108527474
"AT2G32800.1",0.212941062354601
"AT4G37410.1",0.164681352053697
"AT4G18203.1",0.244581751872848
"AT1G17410.3",0.26569635286058
"AT1G05443.1",0.222058696515137
"AT1G14010.1",0.212915895058237
"AT2G09325.1",0.082777907640043
"AT1G02400.2",0.0819980182017246
"AT3G20840.1",0.167616749625141
"AT2G01818.1",0.194385831134021
"AT4G06547.1",0.140128684132632
"AT5G05930.3",0.0822931845845224
"AT4G07840.1",0.363241166889853
"AT5G05570.2",0.218787206740341
"AT3G48490.1",0.34177546365286
"AT2G25070.2",0.0815658103598172
"AT2G30830.1",0.307419127641667
"AT3G22220.3",0.276116441748004
"AT3G25225.1",0.24556192204502
"AT5G05980.2",0.0863596058898717
"AT3G18610.1",0.0821214216518065
"AT1G33980.1",0.22316778028336
"AT5G51195.1",0.421254752518498
"AT5G45540.1",0.21619551453077
"AT3G61750.2",0.223422496110458
"AT2G09910.1",0.0732975633481866
"AT2G20770.1",0.264700205750306
"AT5G08645.1",0.272660192776204
"AT1G66490.1",0.28489400021587
"AT2G10760.1",0.179551585727657
"AT5G08775.1",0.201010903187967
"AT4G08078.1",0.32434826664981
"AT5G10100.2",0.09157796654743
"AT5G08805.1",0.103062383937738
"AT1G56310.1",0.258887657674088
"AT5G54110.2",0.110928309803541
"AT4G23440.2",0.11684288601845
"AT4G05215.1",0.167779365623777
"AT2G37035.1",0.25578051682735
"AT5G04485.1",0.162016805233257
"AT2G35090.1",0.148088797109241
"AT4G03215.1",0.263163925228143
"AT4G12350.1",0.0939595359584206
"AT5G04405.1",0.124402045393596
"AT3G05480.1",0.190641518927713
"AT5G18440.2",0.202169367026317
"AT5G07080.1",0.247257928994788
"AT5G42965.1",0.149861622381471
"AT1G66170.1",0.0721163891215687
"AT4G21470.1",0.269256305313199
"AT2G03300.1",0.122845342481003
"AT2G08165.1",0.254281339116248
"AT4G30740.1",0.302998818919271
"AT3G16470.3",0.267917953561256
"AT5G47590.2",0.179637987643236
"AT4G38440.1",0.111543641188297
"AT2G12770.1",0.26089469149095
"AT3G07510.1",0.19974060960038
"AT3G50440.1",0.1104054122144
"AT2G43510.1",0.188985908679282
"AT5G09475.1",0.127280011575085
"AT4G04410.1",0.245540821080001
